timestamp,link,util_bps,capacity_bps,util_pct,congested
13:48:54,s1-s2,0,10000000,0.0,0
13:48:54,s2-s3,0,10000000,0.0,0
13:48:54,s3-s4,0,10000000,0.0,0
13:48:54,s1-s5,0,5000000,0.0,0
13:48:54,s5-s3,0,5000000,0.0,0
13:48:54,s2-s4,0,5000000,0.0,0
13:48:56,s1-s2,5516340,10000000,55.2,0
13:48:56,s2-s3,6978272,10000000,69.8,0
13:48:56,s3-s4,6096472,10000000,61.0,0
13:48:56,s1-s5,3599268,5000000,72.0,0
13:48:56,s5-s3,3622556,5000000,72.5,0
13:48:56,s2-s4,4783952,5000000,95.7,0
13:48:58,s1-s2,5322356,10000000,53.2,0
13:48:58,s2-s3,6830712,10000000,68.3,0
13:48:58,s3-s4,5934680,10000000,59.3,0
13:48:58,s1-s5,3566232,5000000,71.3,0
13:48:58,s5-s3,3575528,5000000,71.5,0
13:48:58,s2-s4,4742160,5000000,94.8,0
13:49:00,s1-s2,5193840,10000000,51.9,0
13:49:00,s2-s3,6560144,10000000,65.6,0
13:49:00,s3-s4,5783312,10000000,57.8,0
13:49:00,s1-s5,3473848,5000000,69.5,0
13:49:00,s5-s3,3487460,5000000,69.7,0
13:49:00,s2-s4,4626972,5000000,92.5,0
13:49:02,s1-s2,5021220,10000000,50.2,0
13:49:02,s2-s3,6355500,10000000,63.6,0
13:49:02,s3-s4,5587924,10000000,55.9,0
13:49:02,s1-s5,3378148,5000000,67.6,0
13:49:02,s5-s3,3385028,5000000,67.7,0
13:49:02,s2-s4,4436472,5000000,88.7,0
13:49:04,s1-s2,5101480,10000000,51.0,0
13:49:04,s2-s3,6498080,10000000,65.0,0
13:49:04,s3-s4,5678968,10000000,56.8,0
13:49:04,s1-s5,3413736,5000000,68.3,0
13:49:04,s5-s3,3434864,5000000,68.7,0
13:49:04,s2-s4,4549636,5000000,91.0,0
13:49:06,s1-s2,5048720,10000000,50.5,0
13:49:06,s2-s3,6365072,10000000,63.7,0
13:49:06,s3-s4,5612096,10000000,56.1,0
13:49:06,s1-s5,3387600,5000000,67.8,0
13:49:06,s5-s3,3398776,5000000,68.0,0
13:49:06,s2-s4,4495472,5000000,89.9,0
13:49:08,s1-s2,5124744,10000000,51.2,0
13:49:08,s2-s3,6472936,10000000,64.7,0
13:49:08,s3-s4,5725928,10000000,57.3,0
13:49:08,s1-s5,3452568,5000000,69.1,0
13:49:08,s5-s3,3459896,5000000,69.2,0
13:49:08,s2-s4,4584560,5000000,91.7,0
13:49:10,s1-s2,5144036,10000000,51.4,0
13:49:10,s2-s3,6457984,10000000,64.6,0
13:49:10,s3-s4,5752168,10000000,57.5,0
13:49:10,s1-s5,3466756,5000000,69.3,0
13:49:10,s5-s3,3478756,5000000,69.6,0
13:49:10,s2-s4,4604200,5000000,92.1,0
13:49:12,s1-s2,5333040,10000000,53.3,0
13:49:12,s2-s3,6740696,10000000,67.4,0
13:49:12,s3-s4,5954220,10000000,59.5,0
13:49:12,s1-s5,3566324,5000000,71.3,0
13:49:12,s5-s3,3582200,5000000,71.6,0
13:49:12,s2-s4,4745324,5000000,94.9,0
13:49:14,s1-s2,5196944,10000000,52.0,0
13:49:14,s2-s3,6551632,10000000,65.5,0
13:49:14,s3-s4,5797536,10000000,58.0,0
13:49:14,s1-s5,3488552,5000000,69.8,0
13:49:14,s5-s3,3513800,5000000,70.3,0
13:49:14,s2-s4,4661808,5000000,93.2,0
13:49:16,s1-s2,5213936,10000000,52.1,0
13:49:16,s2-s3,6659704,10000000,66.6,0
13:49:16,s3-s4,5823488,10000000,58.2,0
13:49:16,s1-s5,3513600,5000000,70.3,0
13:49:16,s5-s3,3531848,5000000,70.6,0
13:49:16,s2-s4,4662320,5000000,93.2,0
13:49:18,s1-s2,5229176,10000000,52.3,0
13:49:18,s2-s3,6690792,10000000,66.9,0
13:49:18,s3-s4,5844672,10000000,58.4,0
13:49:18,s1-s5,3511008,5000000,70.2,0
13:49:18,s5-s3,3521824,5000000,70.4,0
13:49:18,s2-s4,4676608,5000000,93.5,0
13:49:20,s1-s2,5222560,10000000,52.2,0
13:49:20,s2-s3,6646264,10000000,66.5,0
13:49:20,s3-s4,5827256,10000000,58.3,0
13:49:20,s1-s5,3504896,5000000,70.1,0
13:49:20,s5-s3,3515008,5000000,70.3,0
13:49:20,s2-s4,4687968,5000000,93.8,0
13:49:22,s1-s2,5225440,10000000,52.3,0
13:49:22,s2-s3,6691880,10000000,66.9,0
13:49:22,s3-s4,5831440,10000000,58.3,0
13:49:22,s1-s5,3517440,5000000,70.3,0
13:49:22,s5-s3,3531040,5000000,70.6,0
13:49:22,s2-s4,4670640,5000000,93.4,0
