ts,bs,rss_dbm,sinr_db,capacity_mbps,serving
02:30:14,BS1,-67.25,-3.37,10.91,0
02:30:14,BS2,-64.17,2.51,29.52,1
02:30:14,BS3,-75.81,-13.38,1.30,0
02:30:15,BS1,-67.47,-3.81,10.04,0
02:30:15,BS2,-63.94,2.93,31.35,1
02:30:15,BS3,-75.83,-13.49,1.26,0
02:30:16,BS1,-67.67,-4.23,9.23,0
02:30:16,BS2,-63.69,3.36,33.26,1
02:30:16,BS3,-75.88,-13.66,1.22,0
02:30:17,BS1,-67.85,-4.66,8.49,0
02:30:17,BS2,-63.43,3.79,35.24,1
02:30:17,BS3,-75.95,-13.86,1.16,0
02:30:18,BS1,-68.02,-5.08,7.80,0
02:30:18,BS2,-63.16,4.22,37.28,1
02:30:18,BS3,-76.06,-14.13,1.09,0
02:30:19,BS1,-75.28,-16.96,0.58,0
02:30:19,BS2,-58.38,14.84,99.52,1
02:30:19,BS3,-77.53,-19.24,0.34,0
02:30:20,BS1,-75.43,-17.39,0.52,0
02:30:20,BS2,-58.09,15.27,102.29,1
02:30:20,BS3,-77.67,-19.66,0.31,0
02:30:21,BS1,-75.55,-17.80,0.48,0
02:30:21,BS2,-57.79,15.70,105.08,1
02:30:21,BS3,-77.84,-20.12,0.28,0
02:30:22,BS1,-75.67,-18.22,0.43,0
02:30:22,BS2,-57.49,16.14,107.94,1
02:30:22,BS3,-78.00,-20.58,0.25,0
02:30:23,BS1,-75.82,-18.67,0.39,0
02:30:23,BS2,-57.18,16.59,110.87,1
02:30:23,BS3,-78.15,-21.03,0.23,0
02:30:24,BS1,-78.37,-14.89,0.92,0
02:30:24,BS2,-68.86,-4.10,9.49,1
02:30:24,BS3,-64.96,3.43,33.57,0
02:30:25,BS1,-78.50,-15.01,0.90,0
02:30:25,BS2,-68.54,-3.61,10.42,0
02:30:25,BS3,-65.13,2.99,31.59,1
02:30:26,BS1,-78.62,-15.12,0.88,0
02:30:26,BS2,-68.21,-3.11,11.48,0
02:30:26,BS3,-65.31,2.52,29.57,1
02:30:27,BS1,-78.76,-15.27,0.85,0
02:30:27,BS2,-67.88,-2.62,12.60,0
02:30:27,BS3,-65.47,2.06,27.65,1
02:30:28,BS1,-78.90,-15.44,0.81,0
02:30:28,BS2,-67.54,-2.12,13.81,0
02:30:28,BS3,-65.63,1.60,25.79,1
02:30:29,BS1,-69.80,-7.43,4.79,0
02:30:29,BS2,-62.50,6.65,49.84,0
02:30:29,BS3,-77.83,-16.08,0.70,1
02:30:30,BS1,-69.94,-7.92,4.32,0
02:30:30,BS2,-62.14,7.16,52.62,1
02:30:30,BS3,-77.99,-16.52,0.64,0
02:30:31,BS1,-70.08,-8.41,3.88,0
02:30:31,BS2,-61.77,7.67,55.50,1
02:30:31,BS3,-78.15,-16.98,0.57,0
02:30:32,BS1,-70.21,-8.91,3.49,0
02:30:32,BS2,-61.39,8.18,58.43,1
02:30:32,BS3,-78.32,-17.46,0.51,0
02:30:33,BS1,-70.36,-9.43,3.12,0
02:30:33,BS2,-61.01,8.71,61.51,1
02:30:33,BS3,-78.48,-17.95,0.46,0
02:30:34,BS1,-63.71,0.22,20.74,0
02:30:34,BS2,-64.33,-0.98,16.93,1
02:30:34,BS3,-74.46,-13.46,1.27,0
02:30:35,BS1,-63.86,-0.29,19.05,0
02:30:35,BS2,-63.93,-0.42,18.63,1
02:30:35,BS3,-74.61,-13.72,1.20,0
02:30:36,BS1,-64.04,-0.82,17.40,0
02:30:36,BS2,-63.54,0.14,20.47,1
02:30:36,BS3,-74.72,-13.95,1.14,0
02:30:37,BS1,-64.22,-1.36,15.83,0
02:30:37,BS2,-63.15,0.71,22.45,1
02:30:37,BS3,-74.83,-14.20,1.08,0
02:30:38,BS1,-64.40,-1.91,14.35,0
02:30:38,BS2,-62.75,1.28,24.57,1
02:30:38,BS3,-74.94,-14.46,1.02,0
02:30:39,BS1,-56.77,-6.04,6.42,0
02:30:39,BS2,-50.73,6.03,46.50,1
02:30:39,BS3,-89.67,-39.90,0.00,0
02:30:40,BS1,-56.95,-6.62,5.69,0
02:30:40,BS2,-50.33,6.61,49.64,1
02:30:40,BS3,-89.77,-40.29,0.00,0
02:30:41,BS1,-57.13,-7.20,5.03,0
02:30:41,BS2,-49.93,7.20,52.87,1
02:30:41,BS3,-89.86,-40.69,0.00,0
02:30:42,BS1,-57.31,-7.81,4.42,0
02:30:42,BS2,-49.50,7.81,56.29,1
02:30:43,BS1,-57.47,-8.43,3.87,0
02:30:43,BS2,-49.05,8.43,59.85,1
02:30:44,BS1,-68.67,-12.35,1.63,0
02:30:44,BS2,-56.33,12.33,83.57,1
02:30:45,BS1,-68.85,-12.95,1.43,0
02:30:45,BS2,-55.91,12.93,87.35,1
02:30:46,BS1,-69.03,-13.53,1.25,0
02:30:46,BS2,-55.50,13.52,91.05,1
02:30:47,BS1,-69.20,-14.13,1.09,0
02:30:47,BS2,-55.07,14.12,94.89,1
02:30:48,BS1,-69.36,-14.79,0.94,0
02:30:48,BS2,-54.56,14.78,99.13,1
02:30:49,BS1,-63.64,-7.17,5.06,0
02:30:49,BS2,-56.47,7.17,52.69,1
02:30:50,BS1,-63.81,-7.80,4.43,0
02:30:50,BS2,-56.01,7.79,56.22,1
02:30:51,BS1,-63.98,-8.37,3.92,0
02:30:51,BS2,-55.61,8.36,59.50,1
02:30:52,BS1,-64.15,-8.87,3.52,0
02:30:52,BS2,-55.28,8.87,62.43,1
02:30:53,BS1,-64.32,-9.31,3.20,0
02:30:53,BS2,-55.01,9.30,65.00,1
02:30:54,BS1,-69.67,-21.03,0.23,0
02:30:54,BS2,-48.64,21.01,139.85,1
02:30:55,BS1,-69.84,-21.38,0.21,0
02:30:55,BS2,-48.47,21.36,142.11,1
02:30:56,BS1,-70.01,-21.64,0.20,0
02:30:56,BS2,-48.36,21.63,143.89,1
02:30:57,BS1,-70.17,-21.85,0.19,0
02:30:57,BS2,-48.32,21.83,145.22,1
02:30:58,BS1,-70.33,-22.10,0.18,0
02:30:58,BS2,-48.23,22.08,146.86,1
02:30:59,BS1,-76.87,-36.31,0.01,0
02:30:59,BS2,-40.56,36.23,240.72,1
